Day	Month_	Year	Exp_day	Phase	Site	Genus	Species	ID_number	infection_tube	SVL	Tail	Mass	Regen_Tail	Skin_Scrapes	Treatment	Incubator_number	Shelf_number	Swab_ID	Census	Bd_hist	Bsal_hist	Specimen_ID	Bd_load	Bsal_load	Repeat1_Bd	Repeat1_Bsal	DoubleBd	DoubleBsal	DoubleBd_repeat	DoubleBsal_repeat	Bsal	Bd	Bd_load_t_min_1
22	6	2015	0	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	NA	NA	NA	C	1	1	178	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		NA
25	6	2015	3	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	0.38	NA	NA	C	1	1	233	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
29	6	2015	7	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	0.47	NA	NA	C	1	1	332	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
2	7	2015	10	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	0.45	NA	NA	C	1	1	432	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
6	7	2015	14	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	0.43	NA	NA	C	1	1	527	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
9	7	2015	17	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	NA	NA	NA	C	1	1	622	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
13	7	2015	21	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	0.48	NA	NA	C	1	1	717	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
16	7	2015	24	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	NA	NA	NA	C	1	1	808	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
20	7	2015	28	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	0.52	NA	NA	C	1	1	895	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
24	7	2015	32	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	NA	NA	NA	C	1	1	982	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
27	7	2015	35	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	0.44	NA	NA	C	1	1	1069	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
30	7	2015	38	1	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	NA	NA	NA	C	1	1	1155	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
10	8	2015	49	2	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	0.44	NA	NA	C	1	1	1241	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
13	8	2015	52	2	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	NA	NA	NA	C	1	1	1326	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
17	8	2015	56	2	BT_Lake	Desmognathus	fuscus	1	4_small	29.5	NA	0.45	NA	NA	C	1	1	1411	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0		0
