Specimen_ID,Genus,Species,ID_number,Treatment,Cross_Sections,Bd_type,Bsal_type,Bsal_load,Bd_load
2451,P,cinereus,13,C,29,0,0,0,0
2454,P,cinereus,10,D,20,0,1,11311.668,0
2478,P,cinereus,8,I,27,0,1,254.1720317,0
2444,P,cinereus,9,I,25,0,0,4138.403569,0
2421,P,cylindraceus,4,C,35,0,0,0,0
2482,P,cylindraceus,10,C,44,0,0,0,0
2457,P,cylindraceus,12,D,30,0,1,6296.697645,0
2409,P,cylindraceus,11,I,40,0,0,0,0
2404,D,fuscus,1,C,17,0,0,0,0
2481,D,fuscus,12,C,29,0,0,0,0
2438,D,fuscus,7,D,26,0,0,134.6323444,0
2475,D,fuscus,14,D,21,0,0,0,0
2449,D,fuscus,15,D,24,0,0,0,857.6644377
2456,D,fuscus,3,I,31,0,0,0,0
2428,D,fuscus,6,I,21,0,0,0,0
2405,P,glutinosis,1,C,30,0,0,0,0
2472,P,glutinosis,12,C,38,0,0,0,0
2441,P,glutinosis,14,C,37,0,0,0,0
2477,P,glutinosis,3,D,21,NA,1,457.7414815,0
2471,P,glutinosis,4,D,36,0,0,40.5115738,0
2442,P,glutinosis,5,D,40,0,0,412.3103796,0
2479,P,glutinosis,10,D,23,0,1,0,0
2408,P,glutinosis,11,D,33,0,0,42.56586177,0
2416,P,glutinosis,2,I,35,1,0,0,0
2448,P,glutinosis,7,I,37,0,0,0,0
2427,P,glutinosis,8,I,34,0,0,16470.12701,0
2432,P,glutinosis,9,I,26,NA,1,1.615238715,0
2423,P,glutinosis,13,I,29,0,0,377.3289876,13.71818969
2425,P,glutinosis,15,I,33,0,1,22789.1537,0
2412,P,montanus,8,C,36,0,0,0,0
2476,P,montanus,12,C,31,0,0,0,0
2407,P,montanus,2,D,26,1,0,6945.851361,0
2417,P,montanus,9,I,40,1,0,1169.545022,0
2478,P,montanus,10,I,24,0,1,0,0
2414,P,montanus,14,I,27,1,1,5293.606553,0
2418,D,organi,1,C,24,0,0,0,0
2463,D,organi,2,C,24,0,0,0,0
2439,D,organi,3,D,24,0,0,3442.970478,0
2469,D,organi,7,D,27,0,0,0,0
2474,D,organi,11,D,21,0,0,0,0
2470,D,organi,12,D,21,0,0,0,0
2452,D,organi,4,I,19,0,0,0,0
2445,D,organi,10,I,23,0,0,4.088508463,0
2443,Eurycea,sp,2,C,21,0,0,0,0
2480,Eurycea,sp,1,I,21,1,1,0,0
2440,Eurycea,sp,3,I,19,0,0,188.9575511,0
2489,N,viridescens,1,C,29,1,0,0,0
2467,N,viridescens,2,C,26,1,0,1.780101722,14290.00177
2486,N,viridescens,3,C,29,1,0,0,0
2491,N,viridescens,4,I,26,1,1,0,0
2490,N,viridescens,5,I,27,1,0,0,0
2476,N,viridescens,7,I,22,1,0,419856.2887,1711320.429
2487,N,viridescens,9,I,31,1,1,0,0
2485,N,viridescens,11,I,25,1,1,0,0
2482,N,viridescens,13,I,22,1,1,2161.608477,815.8050996
2481,N,viridescens,14,I,30,1,1,0,0
2483,N,viridescens,15,I,20,1,1,0,0
