tip.label,new.tip.label,Disease,Color,Bsal_growth_rate,Histo,
Alytes_obstetricans,Alytes_obstetricans,Resistant,green,,,1
Ambystoma_opacum,Ambystoma_opacum/maculatum,Resistant,green,,,2
Bombina_variegata,Bombina_variegata,Resistant,green,,,3
Cynops_cyanurus,Cynops_cyanurus,Susceptible,orange,,,4
Cynops_pyrrhogaster,Cynops_pyrrhogaster,Susceptible,orange,,,5
Desmognathus_fuscus,Desmognathus_fuscus,Resistant,green,neg,none,
Desmognathus_wrighti,Desmognathus_wrighti,Resistant,green,neg,none,
Discoglossus_pictus,Discoglossus_scovazzi,Resistant,green,,,6
Epidalea_calamita,Epidalea_calamita,Resistant,green,,,7
Euproctus_platycephalus,Euproctus_platycephalus,Lethal,red,,,8
Eurycea_wilderae,Eurycea_wilderae,Lethal,red,pos,lethal,
Gyrinophilus_porphyriticus,Gyrinophilus_porphyriticus,Resistant,green,,,9
Hydromantes_strinatii,Hydromantes_strinatii,Lethal,red,,,10
Hyla_arborea,Hyla_arborea,Resistant,green,,,11
Hynobius_retardatus,Hynobius_retardatus,Resistant,green,,,12
Ichthyosaura_alpestris,Ichthyosaura_alpestris,Lethal,red,,,13
Lissotriton_helveticus,Lissotriton_helveticus,Resistant,green,,,14
Lissotriton_italicus,Lissotriton_italicus,Lethal,red,,,15
Neurergus_crocatus,Neurergus_crocatus,Lethal,red,,,16
Notophthalmus_viridescens,Notophthalmus_viridescens,Lethal,red,pos,lethal,
Pachyhynobius_shangchengensis,Pachyhynobius_shangchengensis,Resistant,green,,,17
Paramesotriton_deloustali,Paramesotriton_deloustali,Susceptible,orange,,,18
Pelobates_fuscus,Pelobates_fuscus,Resistant,green,,,19
Pelodytes_punctatus,Pelodytes_punctatus,Resistant,green,,,20
Plethodon_cinereus,Plethodon_cinereus,Tolerant,yellow,zero,minimal,
Plethodon_cylindraceus,Plethodon_cylindraceus,Tolerant,yellow,zero,minimal,
Plethodon_glutinosus,Plethodon_glutinosus,Tolerant,yellow,zero,minimal,
Plethodon_montanus,Plethodon_montanus,Susceptible,orange,pos,minimal,
Pleurodeles_waltl,Pleurodeles_waltl,Lethal,red,,,21
Rana_catesbeiana,Lithobates_catesbeiana,Resistant,green,,,22
Rana_temporaria,Rana_temporaria,Resistant,green,,,23
Salamandra_salamandra,Salamandra_salamandra,Lethal,red,,,24
Salamandrella_keyserlingii,Salamandrella_keyserlingii,Tolerant,yellow,,,25
Salamandrina_perspicillata,Salamandrina_perspicillata,Lethal,red,,,26
Siren_intermedia,Siren_intermedia,Tolerant,yellow,,,27
Taricha_granulosa,Taricha_granulosa,Lethal,red,,,28
Triturus_cristatus,Triturus_cristatus,Lethal,red,,,29
Tylototriton_wenxianensis,Tylototriton_wenxianensis,Lethal,red,,,30
Typhlonectes_natans,Typhlonectes_natans,Resistant,green,,,31
Xenopus_tropicalis,Silurana_tropicalis,Resistant,green,,,32
