"","Genus","Species","Treatment","Exp_samp_size","Hist_samp_size","Hist_Bsal_pos","Hist_Bsal_neg"
"1","Desmognathus","fuscus","C",4,2,0,2
"2","Desmognathus","fuscus","I",10,2,0,2
"3","Desmognathus","fuscus","D",5,3,0,3
"4","Desmognathus","wrighti","C",4,2,0,2
"5","Desmognathus","wrighti","I",11,3,0,3
"6","Desmognathus","wrighti","D",6,4,0,4
"7","Eurycea","wilderae","C",1,1,0,1
"8","Eurycea","wilderae","I",2,2,1,1
"9","Notophtalamus","viridescens","C",3,3,0,3
"10","Notophtalamus","viridescens","I",10,10,6,2
"11","Plethodon","cinereus","C",4,1,0,1
"12","Plethodon","cinereus","I",7,2,1,1
"13","Plethodon","cinereus","D",4,1,1,0
"14","Plethodon","cylindraceus","C",4,2,0,2
"15","Plethodon","cylindraceus","I",10,1,0,1
"16","Plethodon","cylindraceus","D",6,1,1,0
"17","Plethodon","glutinosus","C",3,3,0,3
"18","Plethodon","glutinosus","I",11,6,2,4
"19","Plethodon","glutinosus","D",5,5,2,3
"20","Plethodon","montanus","C",4,2,0,2
"21","Plethodon","montanus","I",9,2,2,0
"22","Plethodon","montanus","D",4,2,0,2
